"filename", "language", "JSON with Comments", "vue", "YAML", "JavaScript", "Python", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableForecast.py", "Python", 0, 0, 0, 0, 6, -6, 0, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\time\getTime.py", "Python", 0, 0, 0, 0, 10, -12, 2, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\asgi.py", "Python", 0, 0, 0, 0, 6, -8, 2, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\baran.py", "Python", 0, 0, 0, 0, 8, -11, 3, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\base.py", "Python", 0, 0, 0, 0, 8, -11, 3, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\baseTest.py", "Python", 0, 0, 0, 0, 8, -11, 3, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\docker.py", "Python", 0, 0, 0, 0, 8, -11, 3, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\drLaptop.py", "Python", 0, 0, 0, 0, 8, -11, 3, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\michele.py", "Python", 0, 0, 0, 0, 8, -11, 3, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\urls.py", "Python", 0, 0, 0, 0, 15, -16, 1, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\wsgi.py", "Python", 0, 0, 0, 0, 6, -8, 2, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\compose.yml", "YAML", 0, 0, -9, 0, 0, 9, 0, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\jsconfig.json", "JSON with Comments", 11, 0, 0, 0, 0, -12, 1, 0
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\DropDownProjects.vue", "vue", 0, 16, 0, 0, 0, 1, 1, 18
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\ManageProjectTabelle.vue", "vue", 0, 212, 0, 0, 0, 2, 26, 240
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\MitarbeiterTabelle.vue", "vue", 0, 128, 0, 0, 0, 12, 28, 168
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SingleProject.vue", "vue", 0, 45, 0, 0, 0, 0, 27, 72
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\ProjectPositionLinearGraph.vue", "vue", 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\main.js", "JavaScript", 0, 0, 0, 6, 0, 2, 0, 8
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\service\ProductService.js", "JavaScript", 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\projectIdStore.js", "JavaScript", 0, 0, 0, 11, 0, 1, 2, 14
"c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\ManageProject.vue", "vue", 0, 2, 0, 0, 0, 2, 0, 4
"Total", "-", 11, 409, -9, 17, 749, -542, 240, 875
