Date : 2023-12-25 22:22:21
Directory : c:\Users\Daniel\Documents\quanto\quanto-project
Total : 63 files,  1177 codes, -542 comments, 240 blanks, all 875 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\login.py                                 | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\management\__init__.py                   | Python             |          1 |          0 |          0 |          1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\management\getTableData.py               | Python             |         93 |          3 |         29 |        125 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\assignment.py                       | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\booking.py                          | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\employee.py                         | Python             |         20 |        -24 |          4 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\forecast.py                         | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\project.py                          | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\team.py                             | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\createBookings.py                    | Python             |         13 |        -13 |          0 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\sql\createForecast.py                    | Python             |         13 |        -13 |          0 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableBooking.py            | Python             |          6 |         -6 |          0 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableCombined.py           | Python             |          6 |         -6 |          0 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableForecast.py           | Python             |          6 |         -6 |          0 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\time\getTime.py                          | Python             |         10 |        -12 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\asgi.py                                                   | Python             |          6 |         -8 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\baran.py                                         | Python             |          8 |        -11 |          3 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\base.py                                          | Python             |          8 |        -11 |          3 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\baseTest.py                                      | Python             |          8 |        -11 |          3 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\docker.py                                        | Python             |          8 |        -11 |          3 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\drLaptop.py                                      | Python             |          8 |        -11 |          3 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\settings\michele.py                                       | Python             |          8 |        -11 |          3 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\urls.py                                                   | Python             |         15 |        -16 |          1 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\backend\quantoserver\wsgi.py                                                   | Python             |          6 |         -8 |          2 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\compose.yml                                                                    | YAML               |         -9 |          9 |          0 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\jsconfig.json                                            | JSON with Comments |         11 |        -12 |          1 |          0 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\DropDownProjects.vue                      | vue                |         16 |          1 |          1 |         18 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\ManageProjectTabelle.vue                  | vue                |        212 |          2 |         26 |        240 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\MitarbeiterTabelle.vue                    | vue                |        128 |         12 |         28 |        168 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\SingleProject.vue                         | vue                |         45 |          0 |         27 |         72 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\components\graphs\ProjectPositionLinearGraph.vue     | vue                |          6 |          0 |          0 |          6 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\main.js                                              | JavaScript         |          6 |          2 |          0 |          8 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\service\ProductService.js                            | JavaScript         |          0 |          0 |         -1 |         -1 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\store\projectIdStore.js                              | JavaScript         |         11 |          1 |          2 |         14 |
| c:\Users\Daniel\Documents\quanto\quanto-project\frontend\quanto-front\src\views\ManageProject.vue                              | vue                |          2 |          2 |          0 |          4 |
| Total                                                                                                                          |                    |      1,177 |       -542 |        240 |        875 |
+--------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
