"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\projectQuerys.py", "Python", 44, 4, 6, 54
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\urls.py", "Python", 4, 0, 0, 4
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\__init__.py", "Python", 2, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableBooking.py", "Python", 28, 6, 0, 34
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableCombined.py", "Python", 64, 6, 11, 81
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\timeTable\timeTableForecast.py", "Python", 56, 6, 8, 70
"Total", "-", 198, 22, 25, 245
